                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.1445,                0.88915,                 1.2991,                0.62395,                  0.625,                0.55925,                0.25838,                 2.1116,                 1.3957,                 1.9604,              0.0012278,              0.0012278,              0.0012278
                    120,                 1.1418,                0.87241,                 1.2866,                0.58353,                0.59549,                0.53932,                0.23971,                 2.0831,                 1.4722,                  1.939,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.1708,                0.93086,                  1.316,                0.59056,                   0.65,                0.56981,                0.24591,                  2.098,                  1.317,                 1.9671,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.2405,                 0.9233,                 1.3515,                0.67265,                 0.6625,                0.62545,                0.29493,                 2.0803,                 1.4241,                 1.9376,               0.001208,               0.001208,               0.001208
                    123,                 1.1427,                0.91266,                 1.2902,                0.56688,                0.61875,                0.51832,                0.22349,                  2.069,                 1.7295,                 1.9163,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.1312,                0.86823,                 1.2861,                0.65948,                0.60523,                0.56597,                0.26109,                 2.1005,                 1.6056,                  1.988,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.1366,                0.88828,                 1.2797,                0.57021,                0.58045,                0.50469,                0.21855,                 2.1879,                 1.5394,                 2.0129,              0.0011882,              0.0011882,              0.0011882
                    126,                 1.1549,                0.89019,                 1.3043,                0.64332,                 0.6625,                0.54662,                0.23637,                 2.2056,                 1.4975,                 2.0239,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.1641,                0.91363,                 1.2987,                0.60863,                0.62206,                0.53286,                0.23331,                 2.0931,                 1.5158,                 1.9596,               0.001175,               0.001175,               0.001175
                    128,                 1.1825,                0.90259,                    1.3,                0.56485,                0.65714,                 0.5476,                 0.2493,                 2.1249,                  1.456,                 1.9651,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.1288,                0.88781,                 1.2821,                0.66706,                0.59375,                0.55417,                0.25522,                 2.0844,                 1.4288,                  1.968,              0.0011618,              0.0011618,              0.0011618
                    130,                 1.1421,                0.86464,                 1.2958,                 0.7005,                0.55625,                0.59882,                0.24729,                 2.1002,                 1.3718,                 2.0188,              0.0011552,              0.0011552,              0.0011552
