                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.68905,                0.38249,                0.84521,                0.74899,                0.69728,                 0.7535,                0.39529,                 1.5596,                0.94648,                 1.2414,             0.00045676,             0.00045676,             0.00045676
                    113,                0.69705,                0.37843,                0.84569,                0.77724,                0.68751,                0.76061,                0.40855,                 1.5705,                0.93899,                 1.2545,             0.00044576,             0.00044576,             0.00044576
                    114,                0.69916,                0.38023,                0.84115,                0.78142,                0.70924,                 0.7743,                 0.3983,                 1.5587,                0.93212,                 1.2458,             0.00043475,             0.00043475,             0.00043475
                    115,                0.68577,                0.37575,                0.84132,                0.76945,                 0.6874,                0.74245,                0.38173,                 1.5806,                   1.02,                 1.2539,             0.00042375,             0.00042375,             0.00042375
                    116,                0.67983,                0.37609,                0.84689,                0.75718,                0.70489,                0.76337,                0.40169,                 1.5784,                0.99672,                 1.2576,             0.00041275,             0.00041275,             0.00041275
                    117,                0.67847,                0.37584,                0.84441,                0.76799,                0.68315,                0.76614,                0.39867,                 1.5691,                0.98055,                  1.252,             0.00040175,             0.00040175,             0.00040175
                    118,                0.67385,                0.37262,                0.83462,                0.85021,                0.64658,                0.77064,                0.40981,                 1.5431,                0.92661,                 1.2355,             0.00039074,             0.00039074,             0.00039074
                    119,                0.66584,                0.37054,                 0.8499,                0.79843,                0.67615,                 0.7695,                0.41208,                 1.5506,                0.91939,                 1.2342,             0.00037974,             0.00037974,             0.00037974
                    120,                0.66975,                0.37273,                0.83645,                0.79474,                0.67293,                 0.7513,                0.39774,                 1.5368,                0.97681,                 1.2354,             0.00036874,             0.00036874,             0.00036874
                    121,                0.66823,                0.36788,                0.83978,                 0.7612,                0.70197,                0.74988,                0.39556,                 1.5413,                0.96733,                 1.2464,             0.00035774,             0.00035774,             0.00035774
